alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.1,1,0.14,1.50,0
0.1,1,0.14,2.00,0
0.1,1,0.14,2.50,0
0.1,1,0.14,3.00,0
0.1,1,0.14,4.00,0
0.1,1,0.14,5.00,0
0.1,2,0.18,1.50,0
0.1,2,0.18,2.00,0
0.1,2,0.18,2.50,0
0.1,2,0.18,3.00,0
0.1,2,0.18,4.00,0
0.1,2,0.18,5.00,0
0.1,3,0.22,1.50,0
0.1,3,0.22,2.00,0
0.1,3,0.22,2.50,0
0.1,3,0.22,3.00,0
0.1,3,0.22,4.00,0
0.1,3,0.22,5.00,5
0.1,4,0.28,1.50,0
0.1,4,0.28,2.00,0
0.1,4,0.28,2.50,0
0.1,4,0.28,3.00,0
0.1,4,0.28,4.00,60
0.1,4,0.28,5.00,100
0.1,5,0.33,1.50,0
0.1,5,0.33,2.00,0
0.1,5,0.33,2.50,0
0.1,5,0.33,3.00,0
0.1,5,0.33,4.00,100
0.1,5,0.33,5.00,100
0.2,1,0.24,1.50,0
0.2,1,0.24,2.00,0
0.2,1,0.24,2.50,0
0.2,1,0.24,3.00,0
0.2,1,0.24,4.00,0
0.2,1,0.24,5.00,0
0.2,2,0.29,1.50,0
0.2,2,0.29,2.00,0
0.2,2,0.29,2.50,0
0.2,2,0.29,3.00,0
0.2,2,0.29,4.00,0
0.2,2,0.29,5.00,5
0.2,3,0.33,1.50,0
0.2,3,0.33,2.00,0
0.2,3,0.33,2.50,0
0.2,3,0.33,3.00,0
0.2,3,0.33,4.00,0
0.2,3,0.33,5.00,100
0.2,4,0.40,1.50,0
0.2,4,0.40,2.00,0
0.2,4,0.40,2.50,0
0.2,4,0.40,3.00,25
0.2,4,0.40,4.00,100
0.2,4,0.40,5.00,100
0.2,5,0.45,1.50,0
0.2,5,0.45,2.00,0
0.2,5,0.45,2.50,0
0.2,5,0.45,3.00,75
0.2,5,0.45,4.00,100
0.2,5,0.45,5.00,100
0.3,1,0.35,1.50,0
0.3,1,0.35,2.00,0
0.3,1,0.35,2.50,0
0.3,1,0.35,3.00,0
0.3,1,0.35,4.00,0
0.3,1,0.35,5.00,0
0.3,2,0.39,1.50,0
0.3,2,0.39,2.00,0
0.3,2,0.39,2.50,0
0.3,2,0.39,3.00,0
0.3,2,0.39,4.00,0
0.3,2,0.39,5.00,70
0.3,3,0.44,1.50,0
0.3,3,0.44,2.00,0
0.3,3,0.44,2.50,0
0.3,3,0.44,3.00,0
0.3,3,0.44,4.00,0
